Seccin,Subseccin,Objetivo,Aplica a Proyecto,Definido por,ID_Pregunta,Pregunta,Descripcin/Contexto,Status (Cliente),Respuesta (Cliente)
Estrategia Operativa (DevOps),Convenciones de nomenclatura,Nomenclatura,Aplica,Cliente/DVT,EO-1.1,"Se tiene un name convention para recursos en Cloud? (prefijos, sufijos por entorno, etc.)? Adjuntar listado en ese caso.",Evitar colisiones y facilitar la identificacin de recursos.,TO DO (with DVT Recomendation),Lo propone Devoteam
,,,,Cliente/DVT,EO-1.2,"Se tiene un name convention para objetos de datos (tablas, vistas, columnas)? Adjuntar listado en ese caso.",Garantizar legibilidad y gobierno del dato.,TO DO (with DVT Recomendation),No hay convención, lo propone Devoteam
,Estrategia y herramientas IaC,IaC,Aplica,Cliente/DVT,EO-1.3,"Qu herramienta de Infraestructura como Cdigo (IaC) prefieren utilizar (Terraform, Pulumi, CloudFormation, etc.)?",Alineacin tecnolgica para el despliegue.,,Terraform
,,,,Cliente/DVT,EO-1.4,Que orquestador para IaC se usa?,Alineacin tecnolgica para el despliegue.,TO DO (with DVT Recomendation),No se usa actualmente. Se propone Atlantis
,Gestin del Estado,,,Cliente/DVT,EO-1.5,"Dnde se almacenar el archivo de estado de la infraestructura (backend remoto, buckets con versionado, etc.)?",Seguridad y colaboracin en la gestin de IaC.,,Bucket remoto
,Control de versiones,Gestin de versiones,Aplica,Cliente,EO-1.6,"Qu plataforma de control de versiones se utiliza actualmente (e.g. GitHub, GitLab, Bitbucket, Azure DevOps)?
En caso de que no se tenga, Cul se prefiere implementar (recomendaciones: Gitlab y Github por buena integracin con GCP)?",Integracin con el flujo de trabajo actual.,DONE,GITLAB
,,,Aplica,Cliente/DVT,EO-1.7,Prefieren una estrategia de Monorepo (un solo repo) o Multi-repo (repo por componente)?,Organizacin del cdigo fuente.,,Monorepo
,Estrategia de branching,Estructura de ramas,Aplica,DVT,EO-1.8,Establecer la estrategia de branching,Alineacin en la gestin de ramas y lanzamientos.,DVT,Main + Features
,Pipeline de CI/CD,Estrategia de CI/CD,Aplica,Cliente/DVT,EO-1.9,"Se quiere mantener la herramienta de CI/CD actual que se utiliza para automatizar despliegues?
Cul (e.g. GitHub Actions, Jenkins, Azure Pipelines)?
En caso contrario, Alguna preferencia para herramienta CI/CD?",Automatizacin del ciclo de vida del software.,,Gitlab
,,,,Cliente/DVT,EO-1.10,"Qu entornos de despliegue ya existen o se deben configurar (Dev, QA, Staging, Prod)?",Definicin del pipeline de entornos.,DONE,"Minimo DEV y PRO. Se pueden añadir más bajo demanda (QA, Staging)"
