Sección,Subsección,Objetivo,Aplica a Proyecto,Definido por,ID_Pregunta,Pregunta,Descripción/Contexto,Status (Cliente),Respuesta (Cliente)
Estrategia Operativa (DevOps),Convenciones de nomenclatura,Nomenclatura,Aplica,Cliente/DVT,EO-1.1,"¿Se tiene un name convention para recursos en Cloud? (prefijos, sufijos por entorno, etc.)? Adjuntar listado en ese caso.",Evitar colisiones y facilitar la identificación de recursos.,TO DO (with DVT Recomendation),Lo propone Devoteam
,,,,Cliente/DVT,EO-1.2,"¿Se tiene un name convention para objetos de datos (tablas, vistas, columnas)? Adjuntar listado en ese caso.",Garantizar legibilidad y gobierno del dato.,TO DO (with DVT Recomendation),No hay convención (Lo propone DVT)
,Estrategia y herramientas IaC,IaC,Aplica,Cliente/DVT,EO-1.3,"¿Qué herramienta de Infraestructura como Código (IaC) prefieren utilizar (Terraform, Pulumi, CloudFormation, etc.)?",Alineación tecnológica para el despliegue.,DONE,Terraform
,,,,Cliente/DVT,EO-1.4,Que orquestador para IaC se usa?,Alineación tecnológica para el despliegue.,TO DO (with DVT Recomendation),No se usa actualmente. Se propone Atlantis
,Gestión del Estado,,,Cliente/DVT,EO-1.5,"¿Dónde se almacenará el archivo de estado de la infraestructura (backend remoto, buckets con versionado, etc.)?",Seguridad y colaboración en la gestión de IaC.,DONE,Bucket remoto
,Control de versiones,Gestión de versiones,Aplica,Cliente,EO-1.6,"¿Qué plataforma de control de versiones se utiliza actualmente (e.g. GitHub, GitLab, Bitbucket, Azure DevOps)?
En caso de que no se tenga, ¿Cuál se prefiere implementar (recomendaciones: Gitlab y Github por buena integración con GCP)?",Integración con el flujo de trabajo actual.,DONE,GITLAB
,,,Aplica,Cliente/DVT,EO-1.7,¿Prefieren una estrategia de Monorepo (un solo repo) o Multi-repo (repo por componente)?,Organización del código fuente.,DONE,Monorepo
,Estrategia de branching,Estructura de ramas,Aplica,DVT,EO-1.8,Establecer la estrategia de branching,Alineación en la gestión de ramas y lanzamientos.,DVT,Main + Features
,Pipeline de CI/CD,Estrategia de CI/CD,Aplica,Cliente/DVT,EO-1.9,"¿Se quiere mantener la herramienta de CI/CD actual que se utiliza para automatizar despliegues?
¿Cuál (e.g. GitHub Actions, Jenkins, Azure Pipelines)?
En caso contrario, ¿Alguna preferencia para herramienta CI/CD?",Automatización del ciclo de vida del software.,DONE,Gitlab
,,,,Cliente/DVT,EO-1.10,"¿Qué entornos de despliegue ya existen o se deben configurar (Dev, QA, Staging, Prod)?",Definición del pipeline de entornos.,DONE,"Minimo DEV y PRO. Se pueden añadir más bajo demanda (QA, Staging)"
